Servicio;Region;Comuna;Tipo Obra;Nombre Contrato;Estado;Monto Vigente Contrato;F Inicio;F Termino
Direccion de Obras;Region Ejemplo;Bajo Rio;Agua Potable Rural;CONTRATO OP-1096;En Ejecucion;3.439.236;16-08-2025;25-04-2027
Direccion de Obras;Region Ejemplo;Las Terrazas;Vialidad;CONTRATO OP-1097;Adjudicado;3.470.466;24-09-2026;06-04-2027
Direccion de Obras;Region Ejemplo;Alto Llano;Agua Potable Rural;CONTRATO OP-1098;Por Licitar;4.428.984;02-11-2026;02-06-2028
Direccion de Obras;Region Ejemplo;Puerto Centro;Agua Potable Rural;CONTRATO OP-1099;Por Licitar;1.179.018;24-10-2026;13-06-2027
Direccion de Obras;Region Ejemplo;Villa Sur;Edificacion Publica;CONTRATO OP-1100;En Licitacion;194.709;02-01-2027;26-06-2028
Direccion de Obras;Region Ejemplo;Alto Llano;Obras Portuarias;CONTRATO OP-1101;Por Licitar;2.528.312;21-04-2027;13-11-2027
Direccion de Obras;Region Ejemplo;Las Terrazas;Agua Potable Rural;CONTRATO OP-1102;Por Licitar;1.293.344;12-10-2026;13-09-2028
Direccion de Obras;Region Ejemplo;Puerto Centro;Obras Portuarias;CONTRATO OP-1103;Por Licitar;2.321.206;04-02-2027;03-07-2028
Direccion de Obras;Region Ejemplo;Alto Llano;Alcantarillado;CONTRATO OP-1104;En Licitacion;4.142.950;29-03-2027;31-07-2028
Direccion de Obras;Region Ejemplo;Las Terrazas;Obras Portuarias;CONTRATO OP-1105;Adjudicado;2.039.263;03-10-2026;28-02-2028
Direccion de Obras;Region Ejemplo;Villa Sur;Alcantarillado;CONTRATO OP-1106;En Licitacion;4.235.117;06-11-2026;25-09-2028
Direccion de Obras;Region Ejemplo;Villa Sur;Obras Portuarias;CONTRATO OP-1107;En Adjudicacion;208.744;05-10-2026;24-09-2027
Direccion de Obras;Region Ejemplo;Costa Blanca;Obras Portuarias;CONTRATO OP-1108;En Adjudicacion;2.920.057;26-08-2026;07-08-2028
Direccion de Obras;Region Ejemplo;Bajo Rio;Edificacion Publica;CONTRATO OP-1109;En Ejecucion;4.173.200;24-01-2026;24-12-2027
Direccion de Obras;Region Ejemplo;Villa Norte;Vialidad;CONTRATO OP-1110;En Adjudicacion;3.720.416;25-10-2026;01-04-2028
Direccion de Obras;Region Ejemplo;Costa Blanca;Obras Portuarias;CONTRATO OP-1111;Por Licitar;550.762;31-01-2027;24-03-2028
Direccion de Obras;Region Ejemplo;El Mirador;Alcantarillado;CONTRATO OP-1112;Adjudicado;1.590.426;01-11-2026;10-07-2027
Direccion de Obras;Region Ejemplo;El Mirador;Agua Potable Rural;CONTRATO OP-1113;Por Licitar;2.027.737;23-02-2027;03-10-2028
Direccion de Obras;Region Ejemplo;Bajo Rio;Obras Portuarias;CONTRATO OP-1114;En Adjudicacion;1.405.195;11-08-2026;26-08-2027
Direccion de Obras;Region Ejemplo;Cerro Verde;Agua Potable Rural;CONTRATO OP-1115;En Adjudicacion;1.751.153;28-10-2026;20-10-2027
Direccion de Obras;Region Ejemplo;Cerro Verde;Obras Portuarias;CONTRATO OP-1116;En Adjudicacion;264.042;12-08-2026;29-03-2027
Direccion de Obras;Region Ejemplo;Puerto Centro;Vialidad;CONTRATO OP-1117;En Ejecucion;2.010.372;20-09-2025;17-04-2027
Direccion de Obras;Region Ejemplo;Villa Sur;Agua Potable Rural;CONTRATO OP-1118;En Adjudicacion;2.671.516;07-10-2026;25-04-2027
Direccion de Obras;Region Ejemplo;Costa Blanca;Alcantarillado;CONTRATO OP-1119;En Adjudicacion;3.565.492;23-08-2026;30-09-2027
